#------------------------------------------------------------#
# EXAMPLE DATA
# When loading with CSV.jl, provide the `comment="#"` option.
#
# System size                  L = 20:10:60
# Time between samples in MCS  tau = 10 
# Number of samples            N = 50_000
#------------------------------------------------------------#
L,T,e,e2,m,m2,m4,absem
20,2.0,-698.21008,488660.04864,-0.9112542,0.8323252120000002,0.6986491464013,0.9112542
30,2.0,-1570.95152,2.4704736736e6,-0.9111741333333333,0.8310932647901235,0.6934501492958065,0.9111741333333333
40,2.0,-2793.20264,7.8065788656e6,-0.911435425,0.8311939192812501,0.6924396668441168,0.911435425
50,2.0,-4364.05512,1.905225877152e7,-0.911390944,0.8309346255360001,0.6914404626142887,0.911390944
60,2.0,-6284.9396,3.951097705056e7,-0.9113801111111112,0.8308296243333333,0.690988169119778,0.9113801111111112
20,2.005050505050505,-696.63192,486476.48224,-0.9095901,0.8293360335000002,0.6937911254031376,0.9095901
30,2.005050505050505,-1567.36992,2.45932741888e6,-0.9093995111111112,0.8279253930864199,0.6883628879287392,0.9093995111111112
40,2.005050505050505,-2787.51576,7.7749917136e6,-0.909869075,0.82835916803125,0.6877899615531197,0.909869075
50,2.005050505050505,-4353.8388,1.896326396384e7,-0.909467904,0.8274545868544001,0.6857326971596229,0.909467904
60,2.005050505050505,-6270.80024,3.933358356512e7,-0.9096262777777778,0.8276433556975309,0.6857255054042802,0.9096262777777778
20,2.01010101010101,-695.03448,484270.95904,-0.9078181999999998,0.8261791770000002,0.6887552197377751,0.9078181999999998
30,2.01010101010101,-1563.96816,2.44870268928e6,-0.9075722666666667,0.824640336197531,0.6830345004634875,0.9075722666666667
40,2.01010101010101,-2781.14064,7.73956191744e6,-0.9080366999999998,0.8250416485625002,0.6823428836220233,0.9080366999999998
50,2.01010101010101,-4345.03408,1.888690133376e7,-0.90781136,0.8244633044224001,0.6808470050754463,0.90781136
60,2.01010101010101,-6256.19192,3.915072063968e7,-0.9077515222222224,0.8242468068456791,0.6801453533125308,0.9077515222222224
20,2.015151515151515,-693.92928,482746.9472,-0.9065111,0.8238170355000002,0.6849210213721876,0.9065111
30,2.015151515151515,-1560.56992,2.4381481728e6,-0.9058680888888889,0.8215882846419755,0.6781135560048736,0.9058680888888889
40,2.015151515151515,-2775.07496,7.70585605536e6,-0.9062051999999999,0.8217336294375,0.6769355917481464,0.9062051999999999
50,2.015151515151515,-4335.62952,1.880535736224e7,-0.906009296,0.8212096238976001,0.6755357860882355,0.906009296
60,2.015151515151515,-6243.13384,3.89878632688e7,-0.9060908888888889,0.8212450905555556,0.6752364631081541,0.9060908888888889
20,2.0202020202020203,-692.6152,480960.42496,-0.9049075,0.8211299865000002,0.6808732633457625,0.9049075
30,2.0202020202020203,-1557.39296,2.42825489408e6,-0.9043819111111111,0.8188896804938272,0.6736689422541838,0.9043819111111111
40,2.0202020202020203,-2769.05352,7.67258621792e6,-0.9045218,0.81870695175,0.6720309059576702,0.9045218
50,2.0202020202020203,-4326.5008,1.87264078336e7,-0.904503728,0.8184797633408001,0.6710468028376749,0.904503728
60,2.0202020202020203,-6230.19256,3.882653130016e7,-0.9043541,0.8181112564012346,0.6701300085666216,0.9043541
20,2.025252525252525,-690.5092,478080.22368,0.26688419999999996,0.8165442610000001,0.6737731663641249,0.9022829999999998
30,2.025252525252525,-1553.54608,2.416396528e6,-0.9022323111111112,0.8150775447901234,0.6676375476628686,0.9022323111111112
40,2.025252525252525,-2762.13984,7.63450970112e6,-0.902206575,0.8145843579687502,0.6654689346904561,0.902206575
50,2.025252525252525,-4316.15696,1.863724168576e7,-0.902490848,0.8148720282624001,0.6652400415329577,0.902490848
60,2.025252525252525,-6215.47552,3.864357860096e7,-0.9024830555555556,0.8147367636975309,0.6646361685469022,0.9024830555555556
20,2.0303030303030303,-688.99144,476013.75968,-0.9004548,0.8132653310000003,0.6686173155976249,0.9004548
30,2.0303030303030303,-1550.70976,2.40762786112e6,-0.9007958222222223,0.8125232707160495,0.66357258910323,0.9007958222222223
40,2.0303030303030303,-2757.40504,7.60846084832e6,-0.9010879499999999,0.812555007,0.6621342244901514,0.9010879499999999
50,2.0303030303030303,-4306.02552,1.855003322784e7,-0.90047256,0.8112519241088002,0.6594068148600621,0.90047256
60,2.0303030303030303,-6201.96688,3.847612392576e7,-0.9005822888888889,0.8113315884938271,0.6591646311827036,0.9005822888888889
20,2.0353535353535355,-687.32776,473735.7456,-0.8985094999999998,0.8098576095000001,0.6632518360444875,0.8985094999999998
30,2.0353535353535355,-1547.20304,2.3968027712e6,-0.8986882222222222,0.8088933954567902,0.658032333676267,0.8986882222222222
40,2.0353535353535355,-2749.44784,7.56475725248e6,-0.89861815,0.808160648125,0.6551521932422394,0.89861815
50,2.0353535353535355,-4297.07184,1.847307840576e7,-0.8988165119999999,0.8082776742912002,0.6546043151963233,0.8988165119999999
